time_iso8601,stars_cumulative
2022-11-03 00:00:00+00:00,1
2022-11-04 00:00:00+00:00,2
2022-11-21 00:00:00+00:00,3
2023-01-25 00:00:00+00:00,4
2023-02-09 00:00:00+00:00,5
2023-04-01 00:00:00+00:00,6
2023-09-16 00:00:00+00:00,7
2023-12-06 00:00:00+00:00,8
2023-12-29 00:00:00+00:00,9
2024-02-21 00:00:00+00:00,10
2024-04-10 00:00:00+00:00,11
2024-05-09 00:00:00+00:00,12
2024-06-28 00:00:00+00:00,13
2024-07-23 00:00:00+00:00,14
2024-07-26 00:00:00+00:00,15
2024-09-12 00:00:00+00:00,16
2024-10-30 00:00:00+00:00,17
2024-11-27 00:00:00+00:00,18
2025-03-10 00:00:00+00:00,19
2025-07-08 00:00:00+00:00,20
2025-10-23 00:00:00+00:00,21
2025-10-29 00:00:00+00:00,22
